Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
43.6,19.121716,75.0,23.0,43.6,0,,,,,,,,
,,,,,16,17.0,17,,,,,,
,,,,,56,40.0,40,,,,,,
,,,,,71,15.0,15,,,,,,
,,,,,109,38.0,38,,,,,,
,,,,,140,31.0,31,,,,,,
,,,,,161,21.0,21,,,,,,
,,,,,173,12.0,12,,,,,,
,,,,,189,16.0,16,,,,,,
,,,,,211,22.0,22,,,,,,
,,,,,243,32.0,32,,,,,,
,,,,,267,24.0,24,,,,,,
,,,,,290,23.0,23,,,,,,
,,,,,303,13.0,13,,,,,,
,,,,,347,44.0,44,,,,,,
,,,,,381,34.0,34,,,,,,
,,,,,420,39.0,39,,,,,,
,,,,,433,13.0,13,,,,,,
,,,,,451,18.0,18,,,,,,
,,,,,495,44.0,44,,,,,,
,,,,,511,16.0,16,,,,,,
,,,,,525,14.0,14,,,,,,
,,,,,551,26.0,26,,,,,,
,,,,,610,59.0,59,,,,,,
,,,,,620,10.0,10,,,,,,
,,,,,642,22.0,22,,,,,,
,,,,,655,13.0,13,,,,,,
,,,,,700,45.0,45,,,,,,
,,,,,715,15.0,15,,,,,,
,,,,,759,44.0,44,,,,,,
,,,,,778,19.0,19,,,,,,
,,,,,793,15.0,15,,,,,,
,,,,,805,12.0,12,,,,,,
,,,,,817,12.0,12,,,,,,
,,,,,834,17.0,17,,,,,,
,,,,,850,16.0,16,,,,,,
,,,,,877,27.0,27,,,,,,
,,,,,898,21.0,21,,,,,,
,,,,,906,8.0,8,,,,,,
,,,,,940,34.0,34,,,,,,
,,,,,959,19.0,19,,,,,,
,,,,,985,26.0,26,,,,,,
,,,,,1000,,,1.1089458465576172,0.06805296242237091,1.1164253950119019,2.8759043216705322,0.97,0.0005
,,,,,1001,16.0,16,,,,,,
,,,,,1025,24.0,24,,,,,,
,,,,,1057,32.0,32,,,,,,
,,,,,1075,18.0,18,,,,,,
,,,,,1098,23.0,23,,,,,,
,,,,,1111,13.0,13,,,,,,
,,,,,1123,12.0,12,,,,,,
,,,,,1140,17.0,17,,,,,,
,,,,,1165,25.0,25,,,,,,
,,,,,1193,28.0,28,,,,,,
,,,,,1211,18.0,18,,,,,,
,,,,,1225,14.0,14,,,,,,
,,,,,1241,16.0,16,,,,,,
,,,,,1276,35.0,35,,,,,,
,,,,,1296,20.0,20,,,,,,
,,,,,1337,41.0,41,,,,,,
,,,,,1353,16.0,16,,,,,,
,,,,,1388,35.0,35,,,,,,
,,,,,1401,13.0,13,,,,,,
,,,,,1431,30.0,30,,,,,,
,,,,,1447,16.0,16,,,,,,
,,,,,1504,57.0,57,,,,,,
,,,,,1523,19.0,19,,,,,,
,,,,,1537,14.0,14,,,,,,
,,,,,1551,14.0,14,,,,,,
,,,,,1573,22.0,22,,,,,,
,,,,,1599,26.0,26,,,,,,
,,,,,1608,9.0,9,,,,,,
,,,,,1650,42.0,42,,,,,,
,,,,,1683,33.0,33,,,,,,
,,,,,1696,13.0,13,,,,,,
,,,,,1705,9.0,9,,,,,,
,,,,,1721,16.0,16,,,,,,
,,,,,1740,19.0,19,,,,,,
,,,,,1754,14.0,14,,,,,,
,,,,,1767,13.0,13,,,,,,
,,,,,1787,20.0,20,,,,,,
,,,,,1808,21.0,21,,,,,,
,,,,,1821,13.0,13,,,,,,
,,,,,1839,18.0,18,,,,,,
,,,,,1856,17.0,17,,,,,,
,,,,,1883,27.0,27,,,,,,
