Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-240.6511,77.01127,-151.5459,-386.58572,1000.0,0,,,,,,,,,,,,
,,,,,999,-229.5821,1000,,,,,,,,,,
,,,,,1999,-384.46875,1000,,,,,,,,,,
,,,,,2999,-229.48683,1000,,,,,,,,,,
,,,,,3999,-168.73242,1000,,,,,,,,,,
,,,,,4999,-161.92464,1000,,,,,,,,,,
-244.06668,46.773197,-185.85043,-358.06522,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-178.00175,1000,,,,,,,,,,
,,,,,6999,-283.8097,1000,,,,,,,,,,
,,,,,7999,-313.17233,1000,,,,,,,,,,
,,,,,8999,-176.45105,1000,,,,,,,,,,
,,,,,9999,-309.14844,1000,,,,,,,,,,
-270.01883,83.20889,-109.84903,-392.69366,1000.0,10000,,,-0.36381712555885315,3.7708239555358887,0.4700925350189209,-0.029204323887825012,0.06649117171764374,0.09999999403953552,-22.608837127685547,0.0003,0.0003,0.09999001026153564
,,,,,10999,-245.61646,1000,,,,,,,,,,
,,,,,11000,,,-2.2035040855407715,2.247694730758667,0.34204185009002686,1.4027676582336426,1.3595237731933594,0.09079056233167648,-19.705970764160156,0.0003,0.0003,0.09078186005353928
,,,,,11999,-219.2094,1000,,,,,,,,,,
,,,,,12000,,,-3.1190574169158936,2.4104034900665283,0.5832642912864685,2.61867356300354,2.6514499187469482,0.08204922825098038,-21.2211971282959,0.0003,0.0003,0.08204097300767899
,,,,,12999,-238.61534,1000,,,,,,,,,,
,,,,,13000,,,-4.711495399475098,1.8995496034622192,0.5409911274909973,4.073653697967529,4.032683849334717,0.07455438375473022,-20.61817741394043,0.0003,0.0003,0.07454730570316315
,,,,,13999,-145.77325,1000,,,,,,,,,,
,,,,,14000,,,-6.8708624839782715,1.5308524370193481,0.4573991894721985,6.231402397155762,6.0907440185546875,0.0678122341632843,-20.768543243408203,0.0003,0.0003,0.06780578941106796
,,,,,14999,-188.13052,1000,,,,,,,,,,
-106.0576,22.80116,-64.545204,-132.87602,1000.0,15000,,,-8.366353988647461,1.1130074262619019,0.4826752245426178,7.610983848571777,7.617871284484863,0.061663419008255005,-19.62007713317871,0.0003,0.0003,0.06165754050016403
,,,,,15999,-23.91685,1000,,,,,,,,,,
,,,,,16000,,,-10.337706565856934,0.7731030583381653,0.49669066071510315,9.65475082397461,9.648764610290527,0.05604946240782738,-18.5798397064209,0.0003,0.0003,0.05604416877031326
,,,,,16999,61.629932,1000,,,,,,,,,,
,,,,,17000,,,-12.120220184326172,0.37623727321624756,0.5345034003257751,11.386435508728027,11.252442359924316,0.05101429671049118,-19.412660598754883,0.0003,0.0003,0.051009517163038254
,,,,,17999,189.12239,1000,,,,,,,,,,
,,,,,18000,,,-13.291607856750488,0.16605696082115173,0.4099728465080261,12.682385444641113,12.661775588989258,0.04641836881637573,-19.444875717163086,0.0003,0.0003,0.04641401022672653
,,,,,18999,631.1369,1000,,,,,,,,,,
,,,,,19000,,,-16.48766326904297,-0.6880072951316833,0.4078976511955261,15.944421768188477,16.004091262817383,0.04227954521775246,-16.48047637939453,0.0003,0.0003,0.04227563366293907
,,,,,19999,643.4652,1000,,,,,,,,,,
664.83453,240.27853,1091.2034,368.3112,1000.0,20000,,,-17.33812141418457,-1.6394294500350952,0.3924132287502289,16.656103134155273,16.675254821777344,0.03867444023489952,-14.644182205200195,0.0003,0.0003,0.038671184331178665
,,,,,20999,695.0601,1000,,,,,,,,,,
,,,,,21000,,,-21.031103134155273,-1.8510136604309082,0.5170763731002808,20.255569458007812,20.334016799926758,0.03554271161556244,-13.433911323547363,0.0003,0.0003,0.03553976118564606
,,,,,21999,446.22305,1000,,,,,,,,,,
,,,,,22000,,,-23.176034927368164,-2.6479294300079346,0.36250731348991394,22.321950912475586,22.350404739379883,0.032730236649513245,-11.276751518249512,0.0003,0.0003,0.03272748738527298
,,,,,22999,1330.6833,1000,,,,,,,,,,
,,,,,23000,,,-25.609249114990234,-3.3147356510162354,0.48509910702705383,24.84579849243164,24.933319091796875,0.030095098540186882,-10.620613098144531,0.0003,0.0003,0.030092637985944748
,,,,,23999,1142.9495,1000,,,,,,,,,,
,,,,,24000,,,-29.726919174194336,-3.875272274017334,0.47864004969596863,28.918222427368164,28.890714645385742,0.027766631916165352,-7.514575004577637,0.0003,0.0003,0.02776450105011463
,,,,,24999,1373.0281,1000,,,,,,,,,,
1304.2244,271.006,1511.7871,608.2381,1000.0,25000,,,-34.59331512451172,-3.534698486328125,0.5028507709503174,33.75566482543945,33.82154846191406,0.025646859779953957,-7.672294616699219,0.0003,0.0003,0.025644805282354355
,,,,,25999,1545.1587,1000,,,,,,,,,,
,,,,,26000,,,-38.98003387451172,-4.402616024017334,0.4878934323787689,38.076412200927734,37.960086822509766,0.02373463474214077,-6.921624183654785,0.0003,0.0003,0.023732738569378853
,,,,,26999,1760.5142,1000,,,,,,,,,,
,,,,,27000,,,-42.628318786621094,-5.022184371948242,0.5663511157035828,41.67390060424805,41.65542221069336,0.022157084196805954,-3.3571245670318604,0.0003,0.0003,0.022155869752168655
,,,,,27999,1290.7634,1000,,,,,,,,,,
,,,,,28000,,,-44.024391174316406,-5.692695617675781,0.465973436832428,43.10829544067383,43.06954574584961,0.020994286984205246,0.18992319703102112,0.0003,0.0003,0.02099335752427578
,,,,,28999,1954.1676,1000,,,,,,,,,,
,,,,,29000,,,-52.70569610595703,-6.028791904449463,0.5099422335624695,51.69233322143555,51.6944580078125,0.020253075286746025,-0.1381337195634842,0.0003,0.0003,0.02025279588997364
,,,,,29999,1096.939,1000,,,,,,,,,,
1865.7854,456.03516,2102.4106,507.08322,1000.0,30000,,,-56.48562240600586,-5.672733306884766,0.5674525499343872,55.506675720214844,55.4533805847168,0.020295418798923492,-0.7277023792266846,0.0003,0.0003,0.02029501646757126
,,,,,30999,2083.8364,1000,,,,,,,,,,
,,,,,31000,,,-60.764225006103516,-5.931731224060059,0.5558189153671265,59.831443786621094,59.90367126464844,0.020177790895104408,0.0363621860742569,0.0003,0.0003,0.020177623257040977
,,,,,31999,2047.2174,1000,,,,,,,,,,
,,,,,32000,,,-69.43299102783203,-6.114777565002441,0.6824217438697815,68.45964813232422,68.4180908203125,0.020617276430130005,-1.0621771812438965,0.0003,0.0003,0.020617075264453888
,,,,,32999,2191.795,1000,,,,,,,,,,
,,,,,33000,,,-67.6910171508789,-5.967028617858887,0.8102911710739136,66.71824645996094,66.83575439453125,0.020983269438147545,-0.3863855004310608,0.0003,0.0003,0.020984109491109848
,,,,,33999,2225.6094,1000,,,,,,,,,,
