Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-229.22354,55.636288,-140.467,-333.9575,1000.0,0,,,,,,,,,,
,,,,,999,-275.6119,1000,,,,,,,,
,,,,,1999,-193.2482,1000,,,,,,,,
,,,,,2999,-209.06682,1000,,,,,,,,
,,,,,3999,-416.73126,1000,,,,,,,,
,,,,,4999,-226.48329,1000,,,,,,,,
-236.93567,56.59423,-154.24841,-322.89267,1000.0,5000,,,,,,,,,,
,,,,,5999,-281.1349,1000,,,,,,,,
,,,,,6999,-218.03716,1000,,,,,,,,
,,,,,7999,-283.59784,1000,,,,,,,,
,,,,,8999,-168.09631,1000,,,,,,,,
,,,,,9999,-298.91324,1000,,,,,,,,
-188.81921,65.63958,-75.68586,-306.19257,1000.0,10000,,,0.39289557933807373,-3.6735708713531494,0.4323987662792206,-0.020778464153409004,0.03024326078593731,0.0003,0.0003,0.1
,,,,,10999,-862.8595,1000,,,,,,,,
,,,,,11000,,,44.993446350097656,1055.00146484375,6208.55078125,-150.36050415039062,-226.91696166992188,0.0003,0.0003,0.1
,,,,,11999,-395.6839,1000,,,,,,,,
,,,,,12000,,,67.34742736816406,2040.9910888671875,30535.46875,-271.33441162109375,-442.4779052734375,0.0003,0.0003,0.1
,,,,,12999,-880.4242,1000,,,,,,,,
,,,,,13000,,,82.69927978515625,2962.451171875,76024.4609375,-378.8406982421875,-650.453369140625,0.0003,0.0003,0.1
,,,,,13999,-504.6239,1000,,,,,,,,
,,,,,14000,,,91.05679321289062,3879.810302734375,139083.8125,-478.94036865234375,-846.2068481445312,0.0003,0.0003,0.1
,,,,,14999,-1072.0988,1000,,,,,,,,
-970.24304,69.33395,-823.4739,-1070.5913,1000.0,15000,,,78.87014770507812,4955.23388671875,228054.953125,-574.2999267578125,-1045.364013671875,0.0003,0.0003,0.1
,,,,,15999,-949.98645,1000,,,,,,,,
,,,,,16000,,,76.51220703125,5899.4833984375,310556.25,-666.3701171875,-1215.685791015625,0.0003,0.0003,0.1
,,,,,16999,-774.7535,1000,,,,,,,,
,,,,,17000,,,54.7794189453125,7014.13671875,447717.875,-756.104248046875,-1416.673828125,0.0003,0.0003,0.1
,,,,,17999,-1067.2372,1000,,,,,,,,
,,,,,18000,,,57.98687744140625,7861.8876953125,581152.25,-844.0883178710938,-1595.41015625,0.0003,0.0003,0.1
,,,,,18999,-950.07886,1000,,,,,,,,
,,,,,19000,,,49.3643798828125,8813.98046875,699742.625,-930.6766357421875,-1755.7548828125,0.0003,0.0003,0.1
,,,,,19999,-974.33514,1000,,,,,,,,
-1020.35,53.925446,-938.77295,-1098.8333,1000.0,20000,,,52.00531005859375,9643.6865234375,883038.5,-1016.2891235351562,-1944.32275390625,0.0003,0.0003,0.1
,,,,,20999,-810.5531,1000,,,,,,,,
,,,,,21000,,,46.6168212890625,10545.3125,1085271.25,-1101.0638427734375,-2129.15283203125,0.0003,0.0003,0.1
,,,,,21999,-841.0387,1000,,,,,,,,
,,,,,22000,,,12.3525390625,11728.677734375,1291979.5,-1185.1365966796875,-2308.0771484375,0.0003,0.0003,0.1
,,,,,22999,-1092.3188,1000,,,,,,,,
,,,,,23000,,,32.4376220703125,12362.5615234375,1543046.75,-1268.6099853515625,-2496.226806640625,0.0003,0.0003,0.1
,,,,,23999,-983.71857,1000,,,,,,,,
,,,,,24000,,,1.4775390625,13501.69921875,1748640.625,-1351.565185546875,-2660.673828125,0.0003,0.0003,0.1
,,,,,24999,-1139.0914,1000,,,,,,,,
-1008.933,67.981926,-896.99097,-1108.4386,1000.0,25000,,,-19.9700927734375,14541.37890625,2015007.0,-1434.085693359375,-2835.90625,0.0003,0.0003,0.1
,,,,,25999,-877.7663,1000,,,,,,,,
,,,,,26000,,,-54.290283203125,15706.296875,2343832.5,-1516.2572021484375,-3030.221923828125,0.0003,0.0003,0.1
,,,,,26999,-883.24225,1000,,,,,,,,
,,,,,27000,,,-50.7852783203125,16490.3984375,2578153.0,-1598.173095703125,-3186.28564453125,0.0003,0.0003,0.1
,,,,,27999,-1053.3219,1000,,,,,,,,
