Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
14.724653,4.527126,26.499493,9.609761,18.8,0,,,,,,,,,,
,,,,,65,85.7224,66,,,,,,,,
,,,,,89,8.398743,24,,,,,,,,
,,,,,97,5.1059904,8,,,,,,,,
,,,,,128,19.627405,31,,,,,,,,
,,,,,140,8.747837,12,,,,,,,,
,,,,,150,6.2384896,10,,,,,,,,
,,,,,197,32.45389,47,,,,,,,,
,,,,,217,14.154812,20,,,,,,,,
,,,,,239,17.478916,22,,,,,,,,
,,,,,267,17.188812,28,,,,,,,,
,,,,,281,9.466769,14,,,,,,,,
,,,,,295,10.915964,14,,,,,,,,
,,,,,314,16.69549,19,,,,,,,,
,,,,,331,11.1045,17,,,,,,,,
,,,,,347,11.432459,16,,,,,,,,
,,,,,368,12.8216915,21,,,,,,,,
,,,,,386,10.738006,18,,,,,,,,
,,,,,400,9.680927,14,,,,,,,,
,,,,,415,12.770302,15,,,,,,,,
,,,,,433,16.479242,18,,,,,,,,
,,,,,449,12.08253,16,,,,,,,,
,,,,,467,15.346324,18,,,,,,,,
,,,,,493,14.29704,26,,,,,,,,
,,,,,514,18.088512,21,,,,,,,,
,,,,,524,5.4923916,10,,,,,,,,
,,,,,562,19.322308,38,,,,,,,,
,,,,,586,17.199156,24,,,,,,,,
,,,,,601,9.349943,15,,,,,,,,
,,,,,637,49.35107,36,,,,,,,,
,,,,,647,7.767824,10,,,,,,,,
,,,,,663,12.385074,16,,,,,,,,
,,,,,687,21.61978,24,,,,,,,,
,,,,,697,6.354347,10,,,,,,,,
,,,,,712,14.3349695,15,,,,,,,,
,,,,,794,143.86328,82,,,,,,,,
,,,,,803,6.4492855,9,,,,,,,,
,,,,,826,26.818007,23,,,,,,,,
,,,,,860,19.586704,34,,,,,,,,
,,,,,900,36.959152,40,,,,,,,,
,,,,,918,14.615131,18,,,,,,,,
,,,,,942,12.804034,24,,,,,,,,
,,,,,954,9.298892,12,,,,,,,,
,,,,,968,11.293623,14,,,,,,,,
,,,,,984,17.090286,16,,,,,,,,
,,,,,1024,31.978144,40,,,,,,,,
,,,,,1039,11.018881,15,,,,,,,,
,,,,,1055,7.823371,16,,,,,,,,
,,,,,1090,37.997097,35,,,,,,,,
,,,,,1113,14.253775,23,,,,,,,,
,,,,,1129,8.715732,16,,,,,,,,
,,,,,1138,7.110069,9,,,,,,,,
,,,,,1149,8.581078,11,,,,,,,,
,,,,,1167,9.107725,18,,,,,,,,
,,,,,1187,11.352165,20,,,,,,,,
,,,,,1199,10.026008,12,,,,,,,,
,,,,,1216,12.669099,17,,,,,,,,
,,,,,1234,13.920951,18,,,,,,,,
,,,,,1244,7.212248,10,,,,,,,,
,,,,,1255,9.667157,11,,,,,,,,
,,,,,1269,11.304549,14,,,,,,,,
,,,,,1300,23.335146,31,,,,,,,,
,,,,,1340,32.194744,40,,,,,,,,
,,,,,1353,9.439041,13,,,,,,,,
,,,,,1374,9.9306965,21,,,,,,,,
,,,,,1391,12.099786,17,,,,,,,,
,,,,,1428,22.081966,37,,,,,,,,
,,,,,1443,8.752561,15,,,,,,,,
,,,,,1471,9.748685,28,,,,,,,,
,,,,,1485,12.548247,14,,,,,,,,
,,,,,1506,21.146767,21,,,,,,,,
,,,,,1518,10.6250725,12,,,,,,,,
,,,,,1530,10.682036,12,,,,,,,,
,,,,,1540,5.546156,10,,,,,,,,
,,,,,1553,9.813187,13,,,,,,,,
,,,,,1564,8.191805,11,,,,,,,,
,,,,,1580,12.038364,16,,,,,,,,
,,,,,1635,73.29203,55,,,,,,,,
,,,,,1646,7.871688,11,,,,,,,,
,,,,,1658,10.442998,12,,,,,,,,
,,,,,1680,14.705206,22,,,,,,,,
,,,,,1702,18.184769,22,,,,,,,,
,,,,,1711,5.7259326,9,,,,,,,,
,,,,,1722,9.372633,11,,,,,,,,
,,,,,1759,25.7258,37,,,,,,,,
,,,,,1776,10.776347,17,,,,,,,,
,,,,,1793,10.995348,17,,,,,,,,
,,,,,1810,13.919436,17,,,,,,,,
,,,,,1832,17.074427,22,,,,,,,,
,,,,,1847,13.263581,15,,,,,,,,
,,,,,1867,11.488466,20,,,,,,,,
