Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen
18.703876,7.9872985,35.59507,9.313798,19.6,0,,
,,,,,22,16.55039,23
,,,,,52,10.45099,30
,,,,,81,14.579714,29
,,,,,105,8.815107,24
,,,,,137,40.684452,32
,,,,,205,118.935165,68
,,,,,214,7.356623,9
,,,,,234,8.810378,20
,,,,,253,12.0398,19
,,,,,270,9.032443,17
,,,,,300,19.076317,30
,,,,,315,9.362938,15
,,,,,338,16.752071,23
,,,,,355,8.360368,17
,,,,,412,78.58322,57
,,,,,430,14.484686,18
,,,,,452,16.581621,22
,,,,,471,12.530096,19
,,,,,486,12.187252,15
,,,,,502,13.787636,16
,,,,,531,12.583278,29
,,,,,602,136.76898,71
,,,,,613,8.501161,11
,,,,,644,14.981135,31
,,,,,661,13.725035,17
,,,,,674,7.7627616,13
,,,,,692,15.340229,18
,,,,,709,18.555704,17
,,,,,738,27.13061,29
,,,,,763,19.673527,25
,,,,,778,11.403391,15
,,,,,801,27.495943,23
,,,,,814,11.200136,13
,,,,,829,13.565052,15
,,,,,849,15.900885,20
,,,,,888,31.894045,39
,,,,,905,11.448319,17
,,,,,924,13.054214,19
,,,,,942,7.2360086,18
,,,,,963,24.189524,21
,,,,,981,4.0168233,18
,,,,,993,6.550657,12
,,,,,1004,9.1684265,11
,,,,,1023,17.437796,19
,,,,,1033,8.257159,10
,,,,,1043,7.554579,10
,,,,,1068,16.47358,25
,,,,,1087,18.640665,19
,,,,,1107,18.579338,20
,,,,,1119,4.929973,12
,,,,,1131,10.266071,12
,,,,,1151,16.062222,20
,,,,,1177,16.996782,26
,,,,,1198,13.32926,21
,,,,,1225,13.906457,27
,,,,,1245,14.039763,20
,,,,,1258,9.874883,13
,,,,,1272,8.368625,14
,,,,,1288,10.732785,16
,,,,,1344,51.2085,56
,,,,,1361,14.826267,17
,,,,,1372,7.4499774,11
,,,,,1410,34.113037,38
,,,,,1469,54.24528,59
,,,,,1498,11.40493,29
,,,,,1512,10.465673,14
,,,,,1557,25.262856,45
,,,,,1582,21.803202,25
,,,,,1592,6.9942737,10
,,,,,1609,16.93469,17
,,,,,1643,37.017967,34
,,,,,1671,17.172338,28
,,,,,1692,17.355783,21
,,,,,1713,11.16063,21
,,,,,1747,12.221747,34
,,,,,1777,22.724512,30
,,,,,1788,8.019045,11
,,,,,1828,46.980484,40
,,,,,1862,41.89203,34
,,,,,1874,8.857324,12
,,,,,1940,102.56395,66
,,,,,1965,25.812178,25
,,,,,1982,16.399313,17
,,,,,2001,15.938849,19
,,,,,2017,13.39166,16
,,,,,2033,9.644161,16
,,,,,2084,39.09554,51
,,,,,2101,12.858748,17
,,,,,2118,14.326556,17
,,,,,2129,8.655959,11
,,,,,2141,6.3279047,12
,,,,,2165,25.326336,24
,,,,,2181,9.022785,16
,,,,,2223,69.943436,42
,,,,,2244,10.4059305,21
,,,,,2265,7.428508,21
,,,,,2281,12.012287,16
,,,,,2304,12.365861,23
,,,,,2326,15.5010195,22
,,,,,2340,8.940223,14
,,,,,2356,12.890358,16
,,,,,2379,9.364097,23
,,,,,2394,10.545394,15
,,,,,2421,18.91678,27
,,,,,2454,18.4008,33
,,,,,2471,7.4265866,17
,,,,,2483,10.7575035,12
,,,,,2496,9.673011,13
,,,,,2508,7.914706,12
,,,,,2538,19.447279,30
,,,,,2558,12.072558,20
