Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
20.723814,17.429867,68.82743,8.069976,19.6,0,,,,,,,,,,
,,,,,15,9.73997,16,,,,,,,,
,,,,,109,190.02516,94,,,,,,,,
,,,,,130,14.794542,21,,,,,,,,
,,,,,143,11.596706,13,,,,,,,,
,,,,,157,10.582914,14,,,,,,,,
,,,,,180,18.470694,23,,,,,,,,
,,,,,193,8.151539,13,,,,,,,,
,,,,,207,10.235082,14,,,,,,,,
,,,,,231,22.582764,24,,,,,,,,
,,,,,245,11.588367,14,,,,,,,,
,,,,,259,8.924475,14,,,,,,,,
,,,,,269,6.063955,10,,,,,,,,
,,,,,293,17.036854,24,,,,,,,,
,,,,,313,8.708343,20,,,,,,,,
,,,,,331,12.695306,18,,,,,,,,
,,,,,358,20.29545,27,,,,,,,,
,,,,,372,5.1592174,14,,,,,,,,
,,,,,386,8.2289915,14,,,,,,,,
,,,,,410,27.11609,24,,,,,,,,
,,,,,427,14.485829,17,,,,,,,,
,,,,,494,68.83219,67,,,,,,,,
,,,,,513,18.989002,19,,,,,,,,
,,,,,529,13.913112,16,,,,,,,,
,,,,,552,25.830214,23,,,,,,,,
,,,,,580,19.917454,28,,,,,,,,
,,,,,599,15.181758,19,,,,,,,,
,,,,,613,13.633421,14,,,,,,,,
,,,,,626,8.812968,13,,,,,,,,
,,,,,656,12.505101,30,,,,,,,,
,,,,,764,196.91289,108,,,,,,,,
,,,,,776,7.5367765,12,,,,,,,,
,,,,,797,22.606655,21,,,,,,,,
,,,,,809,9.102047,12,,,,,,,,
,,,,,849,27.34501,40,,,,,,,,
,,,,,863,9.924246,14,,,,,,,,
,,,,,875,8.935885,12,,,,,,,,
,,,,,921,16.652285,46,,,,,,,,
,,,,,943,10.560366,22,,,,,,,,
,,,,,989,39.43064,46,,,,,,,,
,,,,,999,7.176001,10,,,,,,,,
,,,,,1041,48.28828,42,,,,,,,,
,,,,,1077,26.101782,36,,,,,,,,
,,,,,1098,13.818894,21,,,,,,,,
,,,,,1115,16.884352,17,,,,,,,,
,,,,,1130,8.1217375,15,,,,,,,,
,,,,,1148,14.591454,18,,,,,,,,
,,,,,1167,9.694019,19,,,,,,,,
,,,,,1185,16.964088,18,,,,,,,,
,,,,,1207,11.253228,22,,,,,,,,
,,,,,1221,12.900412,14,,,,,,,,
,,,,,1240,12.375363,19,,,,,,,,
,,,,,1255,14.324122,15,,,,,,,,
,,,,,1270,14.196991,15,,,,,,,,
,,,,,1292,23.601208,22,,,,,,,,
,,,,,1304,9.871592,12,,,,,,,,
,,,,,1319,8.702797,15,,,,,,,,
,,,,,1344,22.880732,25,,,,,,,,
,,,,,1361,9.683546,17,,,,,,,,
,,,,,1417,37.896603,56,,,,,,,,
,,,,,1428,8.082852,11,,,,,,,,
,,,,,1445,13.200843,17,,,,,,,,
,,,,,1458,10.757848,13,,,,,,,,
,,,,,1480,17.595802,22,,,,,,,,
,,,,,1494,8.899078,14,,,,,,,,
,,,,,1510,13.197755,16,,,,,,,,
,,,,,1528,16.570929,18,,,,,,,,
,,,,,1542,10.657704,14,,,,,,,,
,,,,,1551,7.763891,9,,,,,,,,
,,,,,1561,7.0594015,10,,,,,,,,
,,,,,1573,8.081444,12,,,,,,,,
,,,,,1586,7.998296,13,,,,,,,,
,,,,,1613,12.516205,27,,,,,,,,
,,,,,1657,31.722376,44,,,,,,,,
,,,,,1674,11.675074,17,,,,,,,,
,,,,,1700,12.1012745,26,,,,,,,,
,,,,,1722,12.313637,22,,,,,,,,
,,,,,1739,13.904447,17,,,,,,,,
,,,,,1765,33.230083,26,,,,,,,,
,,,,,1792,11.058001,27,,,,,,,,
,,,,,1832,27.040882,40,,,,,,,,
,,,,,1848,14.251184,16,,,,,,,,
,,,,,1863,13.266768,15,,,,,,,,
,,,,,1873,7.4308486,10,,,,,,,,
,,,,,1893,19.282648,20,,,,,,,,
,,,,,1916,27.838165,23,,,,,,,,
,,,,,1948,9.791399,32,,,,,,,,
,,,,,1980,38.49855,32,,,,,,,,
,,,,,1998,12.529888,18,,,,,,,,
,,,,,2019,17.264812,21,,,,,,,,
,,,,,2030,7.5258713,11,,,,,,,,
,,,,,2045,11.048835,15,,,,,,,,
,,,,,2072,20.158983,27,,,,,,,,
,,,,,2084,8.415198,12,,,,,,,,
,,,,,2107,11.364239,23,,,,,,,,
,,,,,2119,6.932909,12,,,,,,,,
,,,,,2136,14.927109,17,,,,,,,,
,,,,,2150,9.275888,14,,,,,,,,
,,,,,2160,7.4401736,10,,,,,,,,
,,,,,2172,8.832863,12,,,,,,,,
,,,,,2211,20.495964,39,,,,,,,,
,,,,,2225,7.7390018,14,,,,,,,,
,,,,,2288,65.1068,63,,,,,,,,
,,,,,2312,13.736444,24,,,,,,,,
,,,,,2326,12.228021,14,,,,,,,,
,,,,,2346,21.115776,20,,,,,,,,
,,,,,2370,21.828339,24,,,,,,,,
,,,,,2387,11.43091,17,,,,,,,,
,,,,,2445,48.617832,58,,,,,,,,
,,,,,2466,10.058443,21,,,,,,,,
,,,,,2483,16.397667,17,,,,,,,,
,,,,,2518,42.596012,35,,,,,,,,
,,,,,2552,19.601118,34,,,,,,,,
,,,,,2588,29.55478,36,,,,,,,,
,,,,,2614,19.76835,26,,,,,,,,
,,,,,2635,13.086248,21,,,,,,,,
,,,,,2647,5.881275,12,,,,,,,,
,,,,,2658,7.809961,11,,,,,,,,
,,,,,2680,20.409546,22,,,,,,,,
,,,,,2692,8.743155,12,,,,,,,,
,,,,,2703,9.128755,11,,,,,,,,
,,,,,2760,67.47723,57,,,,,,,,
,,,,,2769,6.884298,9,,,,,,,,
,,,,,2778,7.1945386,9,,,,,,,,
,,,,,2804,25.445145,26,,,,,,,,
,,,,,2826,20.813303,22,,,,,,,,
,,,,,2851,28.032364,25,,,,,,,,
,,,,,2868,14.849633,17,,,,,,,,
,,,,,2894,17.866096,26,,,,,,,,
,,,,,2903,6.095834,9,,,,,,,,
,,,,,2923,15.306982,20,,,,,,,,
,,,,,2947,16.002953,24,,,,,,,,
,,,,,2960,8.748873,13,,,,,,,,
,,,,,2990,31.911942,30,,,,,,,,
,,,,,3084,113.85442,94,,,,,,,,
,,,,,3096,8.399319,12,,,,,,,,
,,,,,3109,9.527402,13,,,,,,,,
,,,,,3119,6.6887856,10,,,,,,,,
,,,,,3160,15.09137,41,,,,,,,,
,,,,,3175,8.0827055,15,,,,,,,,
,,,,,3195,11.928952,20,,,,,,,,
,,,,,3207,10.611562,12,,,,,,,,
,,,,,3222,12.640548,15,,,,,,,,
,,,,,3253,10.199549,31,,,,,,,,
,,,,,3289,33.1499,36,,,,,,,,
,,,,,3306,13.411527,17,,,,,,,,
,,,,,3321,11.269452,15,,,,,,,,
,,,,,3340,13.957406,19,,,,,,,,
,,,,,3350,6.77677,10,,,,,,,,
,,,,,3380,16.621544,30,,,,,,,,
,,,,,3393,11.343519,13,,,,,,,,
,,,,,3413,18.2917,20,,,,,,,,
,,,,,3428,7.8933263,15,,,,,,,,
,,,,,3452,23.351854,24,,,,,,,,
,,,,,3473,20.919533,21,,,,,,,,
,,,,,3485,9.799927,12,,,,,,,,
,,,,,3506,22.349403,21,,,,,,,,
,,,,,3536,19.122496,30,,,,,,,,
