Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
8.1,5.4120235,18.0,3.0,8.1,0,,,,,,,,,,,,
,,,,,4,5.0,5,,,,,,,,,,
,,,,,8,4.0,4,,,,,,,,,,
,,,,,16,8.0,8,,,,,,,,,,
,,,,,20,4.0,4,,,,,,,,,,
,,,,,23,3.0,3,,,,,,,,,,
,,,,,27,4.0,4,,,,,,,,,,
,,,,,31,4.0,4,,,,,,,,,,
,,,,,34,3.0,3,,,,,,,,,,
,,,,,40,6.0,6,,,,,,,,,,
,,,,,44,4.0,4,,,,,,,,,,
,,,,,53,9.0,9,,,,,,,,,,
,,,,,56,3.0,3,,,,,,,,,,
,,,,,60,4.0,4,,,,,,,,,,
,,,,,63,3.0,3,,,,,,,,,,
,,,,,67,4.0,4,,,,,,,,,,
,,,,,86,19.0,19,,,,,,,,,,
,,,,,90,4.0,4,,,,,,,,,,
,,,,,104,14.0,14,,,,,,,,,,
,,,,,107,3.0,3,,,,,,,,,,
,,,,,111,4.0,4,,,,,,,,,,
,,,,,114,3.0,3,,,,,,,,,,
,,,,,121,7.0,7,,,,,,,,,,
,,,,,125,4.0,4,,,,,,,,,,
,,,,,129,4.0,4,,,,,,,,,,
,,,,,133,4.0,4,,,,,,,,,,
,,,,,136,3.0,3,,,,,,,,,,
,,,,,140,4.0,4,,,,,,,,,,
,,,,,145,5.0,5,,,,,,,,,,
,,,,,152,7.0,7,,,,,,,,,,
,,,,,159,7.0,7,,,,,,,,,,
,,,,,163,4.0,4,,,,,,,,,,
,,,,,167,4.0,4,,,,,,,,,,
,,,,,176,9.0,9,,,,,,,,,,
,,,,,180,4.0,4,,,,,,,,,,
,,,,,183,3.0,3,,,,,,,,,,
,,,,,193,10.0,10,,,,,,,,,,
,,,,,203,10.0,10,,,,,,,,,,
,,,,,214,11.0,11,,,,,,,,,,
,,,,,218,4.0,4,,,,,,,,,,
,,,,,221,3.0,3,,,,,,,,,,
,,,,,227,6.0,6,,,,,,,,,,
,,,,,230,3.0,3,,,,,,,,,,
,,,,,238,8.0,8,,,,,,,,,,
,,,,,242,4.0,4,,,,,,,,,,
,,,,,247,5.0,5,,,,,,,,,,
,,,,,250,3.0,3,,,,,,,,,,
,,,,,261,11.0,11,,,,,,,,,,
,,,,,269,8.0,8,,,,,,,,,,
,,,,,272,3.0,3,,,,,,,,,,
,,,,,279,7.0,7,,,,,,,,,,
,,,,,282,3.0,3,,,,,,,,,,
,,,,,287,5.0,5,,,,,,,,,,
,,,,,292,5.0,5,,,,,,,,,,
,,,,,296,4.0,4,,,,,,,,,,
,,,,,305,9.0,9,,,,,,,,,,
,,,,,308,3.0,3,,,,,,,,,,
,,,,,315,7.0,7,,,,,,,,,,
,,,,,321,6.0,6,,,,,,,,,,
,,,,,329,8.0,8,,,,,,,,,,
,,,,,345,16.0,16,,,,,,,,,,
,,,,,350,5.0,5,,,,,,,,,,
,,,,,354,4.0,4,,,,,,,,,,
,,,,,370,16.0,16,,,,,,,,,,
,,,,,376,6.0,6,,,,,,,,,,
,,,,,383,7.0,7,,,,,,,,,,
,,,,,393,10.0,10,,,,,,,,,,
,,,,,401,8.0,8,,,,,,,,,,
,,,,,407,6.0,6,,,,,,,,,,
,,,,,413,6.0,6,,,,,,,,,,
,,,,,418,5.0,5,,,,,,,,,,
,,,,,423,5.0,5,,,,,,,,,,
,,,,,430,7.0,7,,,,,,,,,,
,,,,,436,6.0,6,,,,,,,,,,
,,,,,441,5.0,5,,,,,,,,,,
,,,,,446,5.0,5,,,,,,,,,,
,,,,,449,3.0,3,,,,,,,,,,
,,,,,463,14.0,14,,,,,,,,,,
,,,,,471,8.0,8,,,,,,,,,,
,,,,,476,5.0,5,,,,,,,,,,
,,,,,480,4.0,4,,,,,,,,,,
,,,,,484,4.0,4,,,,,,,,,,
,,,,,488,4.0,4,,,,,,,,,,
,,,,,492,4.0,4,,,,,,,,,,
,,,,,496,4.0,4,,,,,,,,,,
,,,,,499,3.0,3,,,,,,,,,,
,,,,,505,6.0,6,,,,,,,,,,
,,,,,514,9.0,9,,,,,,,,,,
,,,,,523,9.0,9,,,,,,,,,,
,,,,,528,5.0,5,,,,,,,,,,
,,,,,531,3.0,3,,,,,,,,,,
,,,,,534,3.0,3,,,,,,,,,,
,,,,,537,3.0,3,,,,,,,,,,
,,,,,540,3.0,3,,,,,,,,,,
,,,,,553,13.0,13,,,,,,,,,,
,,,,,564,11.0,11,,,,,,,,,,
,,,,,584,20.0,20,,,,,,,,,,
,,,,,590,6.0,6,,,,,,,,,,
,,,,,594,4.0,4,,,,,,,,,,
,,,,,600,6.0,6,,,,,,,,,,
,,,,,607,7.0,7,,,,,,,,,,
,,,,,624,17.0,17,,,,,,,,,,
,,,,,627,3.0,3,,,,,,,,,,
,,,,,632,5.0,5,,,,,,,,,,
,,,,,635,3.0,3,,,,,,,,,,
,,,,,640,5.0,5,,,,,,,,,,
,,,,,644,4.0,4,,,,,,,,,,
,,,,,650,6.0,6,,,,,,,,,,
,,,,,655,5.0,5,,,,,,,,,,
,,,,,659,4.0,4,,,,,,,,,,
,,,,,668,9.0,9,,,,,,,,,,
,,,,,677,9.0,9,,,,,,,,,,
,,,,,680,3.0,3,,,,,,,,,,
,,,,,684,4.0,4,,,,,,,,,,
,,,,,687,3.0,3,,,,,,,,,,
,,,,,700,13.0,13,,,,,,,,,,
,,,,,703,3.0,3,,,,,,,,,,
,,,,,706,3.0,3,,,,,,,,,,
,,,,,716,10.0,10,,,,,,,,,,
,,,,,720,4.0,4,,,,,,,,,,
,,,,,726,6.0,6,,,,,,,,,,
,,,,,736,10.0,10,,,,,,,,,,
,,,,,749,13.0,13,,,,,,,,,,
,,,,,753,4.0,4,,,,,,,,,,
,,,,,762,9.0,9,,,,,,,,,,
,,,,,768,6.0,6,,,,,,,,,,
,,,,,774,6.0,6,,,,,,,,,,
,,,,,780,6.0,6,,,,,,,,,,
,,,,,783,3.0,3,,,,,,,,,,
,,,,,789,6.0,6,,,,,,,,,,
,,,,,792,3.0,3,,,,,,,,,,
,,,,,795,3.0,3,,,,,,,,,,
,,,,,805,10.0,10,,,,,,,,,,
,,,,,812,7.0,7,,,,,,,,,,
,,,,,818,6.0,6,,,,,,,,,,
,,,,,828,10.0,10,,,,,,,,,,
,,,,,835,7.0,7,,,,,,,,,,
,,,,,845,10.0,10,,,,,,,,,,
,,,,,855,10.0,10,,,,,,,,,,
,,,,,859,4.0,4,,,,,,,,,,
,,,,,863,4.0,4,,,,,,,,,,
,,,,,875,12.0,12,,,,,,,,,,
,,,,,884,9.0,9,,,,,,,,,,
,,,,,890,6.0,6,,,,,,,,,,
,,,,,893,3.0,3,,,,,,,,,,
,,,,,901,8.0,8,,,,,,,,,,
,,,,,907,6.0,6,,,,,,,,,,
,,,,,910,3.0,3,,,,,,,,,,
,,,,,914,4.0,4,,,,,,,,,,
,,,,,919,5.0,5,,,,,,,,,,
,,,,,922,3.0,3,,,,,,,,,,
,,,,,925,3.0,3,,,,,,,,,,
,,,,,931,6.0,6,,,,,,,,,,
,,,,,935,4.0,4,,,,,,,,,,
,,,,,939,4.0,4,,,,,,,,,,
,,,,,943,4.0,4,,,,,,,,,,
,,,,,952,9.0,9,,,,,,,,,,
,,,,,958,6.0,6,,,,,,,,,,
,,,,,961,3.0,3,,,,,,,,,,
,,,,,967,6.0,6,,,,,,,,,,
,,,,,972,5.0,5,,,,,,,,,,
,,,,,976,4.0,4,,,,,,,,,,
,,,,,979,3.0,3,,,,,,,,,,
,,,,,997,18.0,18,,,,,,,,,,
,,,,,1000,3.0,3,,,,,,,,,,
,,,,,1012,12.0,12,,,,,,,,,,
,,,,,1017,5.0,5,,,,,,,,,,
,,,,,1023,6.0,6,,,,,,,,,,
,,,,,1031,8.0,8,,,,,,,,,,
,,,,,1037,6.0,6,,,,,,,,,,
,,,,,1048,11.0,11,,,,,,,,,,
,,,,,1062,14.0,14,,,,,,,,,,
,,,,,1066,4.0,4,,,,,,,,,,
,,,,,1072,6.0,6,,,,,,,,,,
,,,,,1075,3.0,3,,,,,,,,,,
,,,,,1079,4.0,4,,,,,,,,,,
,,,,,1096,17.0,17,,,,,,,,,,
,,,,,1100,4.0,4,,,,,,,,,,
,,,,,1103,3.0,3,,,,,,,,,,
,,,,,1110,7.0,7,,,,,,,,,,
,,,,,1117,7.0,7,,,,,,,,,,
,,,,,1121,4.0,4,,,,,,,,,,
,,,,,1125,4.0,4,,,,,,,,,,
,,,,,1136,11.0,11,,,,,,,,,,
,,,,,1139,3.0,3,,,,,,,,,,
,,,,,1142,3.0,3,,,,,,,,,,
,,,,,1145,3.0,3,,,,,,,,,,
,,,,,1152,7.0,7,,,,,,,,,,
,,,,,1155,3.0,3,,,,,,,,,,
,,,,,1158,3.0,3,,,,,,,,,,
,,,,,1162,4.0,4,,,,,,,,,,
,,,,,1167,5.0,5,,,,,,,,,,
,,,,,1170,3.0,3,,,,,,,,,,
,,,,,1173,3.0,3,,,,,,,,,,
,,,,,1177,4.0,4,,,,,,,,,,
,,,,,1186,9.0,9,,,,,,,,,,
,,,,,1195,9.0,9,,,,,,,,,,
,,,,,1205,10.0,10,,,,,,,,,,
,,,,,1216,11.0,11,,,,,,,,,,
,,,,,1230,14.0,14,,,,,,,,,,
,,,,,1246,16.0,16,,,,,,,,,,
,,,,,1257,11.0,11,,,,,,,,,,
,,,,,1261,4.0,4,,,,,,,,,,
,,,,,1265,4.0,4,,,,,,,,,,
,,,,,1271,6.0,6,,,,,,,,,,
,,,,,1278,7.0,7,,,,,,,,,,
,,,,,1282,4.0,4,,,,,,,,,,
,,,,,1287,5.0,5,,,,,,,,,,
,,,,,1292,5.0,5,,,,,,,,,,
,,,,,1296,4.0,4,,,,,,,,,,
,,,,,1304,8.0,8,,,,,,,,,,
,,,,,1308,4.0,4,,,,,,,,,,
,,,,,1317,9.0,9,,,,,,,,,,
,,,,,1322,5.0,5,,,,,,,,,,
,,,,,1325,3.0,3,,,,,,,,,,
,,,,,1330,5.0,5,,,,,,,,,,
,,,,,1338,8.0,8,,,,,,,,,,
,,,,,1345,7.0,7,,,,,,,,,,
,,,,,1357,12.0,12,,,,,,,,,,
,,,,,1360,3.0,3,,,,,,,,,,
,,,,,1363,3.0,3,,,,,,,,,,
,,,,,1368,5.0,5,,,,,,,,,,
,,,,,1372,4.0,4,,,,,,,,,,
,,,,,1377,5.0,5,,,,,,,,,,
,,,,,1381,4.0,4,,,,,,,,,,
,,,,,1394,13.0,13,,,,,,,,,,
,,,,,1397,3.0,3,,,,,,,,,,
,,,,,1402,5.0,5,,,,,,,,,,
,,,,,1405,3.0,3,,,,,,,,,,
,,,,,1413,8.0,8,,,,,,,,,,
,,,,,1417,4.0,4,,,,,,,,,,
,,,,,1424,7.0,7,,,,,,,,,,
,,,,,1439,15.0,15,,,,,,,,,,
,,,,,1444,5.0,5,,,,,,,,,,
,,,,,1449,5.0,5,,,,,,,,,,
,,,,,1457,8.0,8,,,,,,,,,,
,,,,,1467,10.0,10,,,,,,,,,,
,,,,,1470,3.0,3,,,,,,,,,,
,,,,,1475,5.0,5,,,,,,,,,,
,,,,,1486,11.0,11,,,,,,,,,,
,,,,,1494,8.0,8,,,,,,,,,,
,,,,,1498,4.0,4,,,,,,,,,,
,,,,,1504,6.0,6,,,,,,,,,,
,,,,,1516,12.0,12,,,,,,,,,,
,,,,,1519,3.0,3,,,,,,,,,,
,,,,,1523,4.0,4,,,,,,,,,,
,,,,,1537,14.0,14,,,,,,,,,,
,,,,,1544,7.0,7,,,,,,,,,,
,,,,,1547,3.0,3,,,,,,,,,,
,,,,,1561,14.0,14,,,,,,,,,,
,,,,,1567,6.0,6,,,,,,,,,,
,,,,,1572,5.0,5,,,,,,,,,,
,,,,,1575,3.0,3,,,,,,,,,,
,,,,,1584,9.0,9,,,,,,,,,,
,,,,,1588,4.0,4,,,,,,,,,,
,,,,,1592,4.0,4,,,,,,,,,,
,,,,,1595,3.0,3,,,,,,,,,,
,,,,,1601,6.0,6,,,,,,,,,,
,,,,,1606,5.0,5,,,,,,,,,,
,,,,,1610,4.0,4,,,,,,,,,,
,,,,,1624,14.0,14,,,,,,,,,,
,,,,,1640,16.0,16,,,,,,,,,,
,,,,,1645,5.0,5,,,,,,,,,,
,,,,,1650,5.0,5,,,,,,,,,,
,,,,,1655,5.0,5,,,,,,,,,,
,,,,,1660,5.0,5,,,,,,,,,,
,,,,,1671,11.0,11,,,,,,,,,,
,,,,,1677,6.0,6,,,,,,,,,,
,,,,,1686,9.0,9,,,,,,,,,,
,,,,,1690,4.0,4,,,,,,,,,,
,,,,,1695,5.0,5,,,,,,,,,,
,,,,,1704,9.0,9,,,,,,,,,,
,,,,,1709,5.0,5,,,,,,,,,,
,,,,,1717,8.0,8,,,,,,,,,,
,,,,,1729,12.0,12,,,,,,,,,,
,,,,,1744,15.0,15,,,,,,,,,,
,,,,,1749,5.0,5,,,,,,,,,,
,,,,,1752,3.0,3,,,,,,,,,,
,,,,,1757,5.0,5,,,,,,,,,,
,,,,,1760,3.0,3,,,,,,,,,,
,,,,,1767,7.0,7,,,,,,,,,,
,,,,,1780,13.0,13,,,,,,,,,,
,,,,,1786,6.0,6,,,,,,,,,,
,,,,,1790,4.0,4,,,,,,,,,,
,,,,,1794,4.0,4,,,,,,,,,,
,,,,,1798,4.0,4,,,,,,,,,,
,,,,,1805,7.0,7,,,,,,,,,,
,,,,,1810,5.0,5,,,,,,,,,,
,,,,,1813,3.0,3,,,,,,,,,,
,,,,,1821,8.0,8,,,,,,,,,,
,,,,,1843,22.0,22,,,,,,,,,,
,,,,,1846,3.0,3,,,,,,,,,,
,,,,,1849,3.0,3,,,,,,,,,,
,,,,,1853,4.0,4,,,,,,,,,,
,,,,,1860,7.0,7,,,,,,,,,,
,,,,,1866,6.0,6,,,,,,,,,,
,,,,,1878,12.0,12,,,,,,,,,,
,,,,,1883,5.0,5,,,,,,,,,,
,,,,,1887,4.0,4,,,,,,,,,,
,,,,,1891,4.0,4,,,,,,,,,,
,,,,,1894,3.0,3,,,,,,,,,,
,,,,,1897,3.0,3,,,,,,,,,,
,,,,,1901,4.0,4,,,,,,,,,,
,,,,,1911,10.0,10,,,,,,,,,,
,,,,,1919,8.0,8,,,,,,,,,,
,,,,,1925,6.0,6,,,,,,,,,,
,,,,,1930,5.0,5,,,,,,,,,,
,,,,,1935,5.0,5,,,,,,,,,,
,,,,,1945,10.0,10,,,,,,,,,,
,,,,,1953,8.0,8,,,,,,,,,,
,,,,,1961,8.0,8,,,,,,,,,,
,,,,,1970,9.0,9,,,,,,,,,,
,,,,,1973,3.0,3,,,,,,,,,,
,,,,,1980,7.0,7,,,,,,,,,,
,,,,,1992,12.0,12,,,,,,,,,,
,,,,,1996,4.0,4,,,,,,,,,,
,,,,,2000,4.0,4,,,,,,,,,,
,,,,,2004,4.0,4,,,,,,,,,,
,,,,,2013,9.0,9,,,,,,,,,,
,,,,,2021,8.0,8,,,,,,,,,,
,,,,,2024,3.0,3,,,,,,,,,,
,,,,,2028,4.0,4,,,,,,,,,,
,,,,,2038,10.0,10,,,,,,,,,,
,,,,,2066,28.0,28,,,,,,,,,,
,,,,,2080,14.0,14,,,,,,,,,,
,,,,,2087,7.0,7,,,,,,,,,,
,,,,,2095,8.0,8,,,,,,,,,,
,,,,,2101,6.0,6,,,,,,,,,,
,,,,,2107,6.0,6,,,,,,,,,,
,,,,,2116,9.0,9,,,,,,,,,,
,,,,,2123,7.0,7,,,,,,,,,,
,,,,,2140,17.0,17,,,,,,,,,,
,,,,,2144,4.0,4,,,,,,,,,,
,,,,,2148,4.0,4,,,,,,,,,,
,,,,,2160,12.0,12,,,,,,,,,,
,,,,,2168,8.0,8,,,,,,,,,,
,,,,,2171,3.0,3,,,,,,,,,,
,,,,,2180,9.0,9,,,,,,,,,,
,,,,,2189,9.0,9,,,,,,,,,,
,,,,,2198,9.0,9,,,,,,,,,,
,,,,,2203,5.0,5,,,,,,,,,,
,,,,,2211,8.0,8,,,,,,,,,,
,,,,,2216,5.0,5,,,,,,,,,,
,,,,,2223,7.0,7,,,,,,,,,,
,,,,,2230,7.0,7,,,,,,,,,,
,,,,,2243,13.0,13,,,,,,,,,,
,,,,,2247,4.0,4,,,,,,,,,,
,,,,,2264,17.0,17,,,,,,,,,,
,,,,,2274,10.0,10,,,,,,,,,,
,,,,,2279,5.0,5,,,,,,,,,,
,,,,,2282,3.0,3,,,,,,,,,,
,,,,,2285,3.0,3,,,,,,,,,,
,,,,,2290,5.0,5,,,,,,,,,,
,,,,,2294,4.0,4,,,,,,,,,,
,,,,,2299,5.0,5,,,,,,,,,,
,,,,,2309,10.0,10,,,,,,,,,,
,,,,,2317,8.0,8,,,,,,,,,,
,,,,,2328,11.0,11,,,,,,,,,,
,,,,,2339,11.0,11,,,,,,,,,,
,,,,,2345,6.0,6,,,,,,,,,,
,,,,,2350,5.0,5,,,,,,,,,,
,,,,,2354,4.0,4,,,,,,,,,,
,,,,,2366,12.0,12,,,,,,,,,,
,,,,,2376,10.0,10,,,,,,,,,,
,,,,,2388,12.0,12,,,,,,,,,,
,,,,,2394,6.0,6,,,,,,,,,,
,,,,,2401,7.0,7,,,,,,,,,,
,,,,,2407,6.0,6,,,,,,,,,,
,,,,,2411,4.0,4,,,,,,,,,,
,,,,,2418,7.0,7,,,,,,,,,,
,,,,,2422,4.0,4,,,,,,,,,,
,,,,,2427,5.0,5,,,,,,,,,,
,,,,,2431,4.0,4,,,,,,,,,,
,,,,,2444,13.0,13,,,,,,,,,,
,,,,,2454,10.0,10,,,,,,,,,,
,,,,,2458,4.0,4,,,,,,,,,,
,,,,,2464,6.0,6,,,,,,,,,,
,,,,,2472,8.0,8,,,,,,,,,,
,,,,,2476,4.0,4,,,,,,,,,,
,,,,,2485,9.0,9,,,,,,,,,,
,,,,,2492,7.0,7,,,,,,,,,,
,,,,,2499,7.0,7,,,,,,,,,,
,,,,,2509,10.0,10,,,,,,,,,,
,,,,,2517,8.0,8,,,,,,,,,,
,,,,,2525,8.0,8,,,,,,,,,,
,,,,,2536,11.0,11,,,,,,,,,,
,,,,,2547,11.0,11,,,,,,,,,,
,,,,,2550,3.0,3,,,,,,,,,,
,,,,,2562,12.0,12,,,,,,,,,,
,,,,,2570,8.0,8,,,,,,,,,,
,,,,,2574,4.0,4,,,,,,,,,,
,,,,,2579,5.0,5,,,,,,,,,,
,,,,,2585,6.0,6,,,,,,,,,,
,,,,,2589,4.0,4,,,,,,,,,,
,,,,,2599,10.0,10,,,,,,,,,,
,,,,,2604,5.0,5,,,,,,,,,,
,,,,,2613,9.0,9,,,,,,,,,,
,,,,,2618,5.0,5,,,,,,,,,,
,,,,,2624,6.0,6,,,,,,,,,,
,,,,,2628,4.0,4,,,,,,,,,,
,,,,,2632,4.0,4,,,,,,,,,,
,,,,,2644,12.0,12,,,,,,,,,,
,,,,,2658,14.0,14,,,,,,,,,,
,,,,,2664,6.0,6,,,,,,,,,,
,,,,,2669,5.0,5,,,,,,,,,,
,,,,,2672,3.0,3,,,,,,,,,,
,,,,,2676,4.0,4,,,,,,,,,,
,,,,,2682,6.0,6,,,,,,,,,,
,,,,,2688,6.0,6,,,,,,,,,,
,,,,,2692,4.0,4,,,,,,,,,,
,,,,,2696,4.0,4,,,,,,,,,,
,,,,,2699,3.0,3,,,,,,,,,,
,,,,,2706,7.0,7,,,,,,,,,,
,,,,,2709,3.0,3,,,,,,,,,,
,,,,,2714,5.0,5,,,,,,,,,,
,,,,,2720,6.0,6,,,,,,,,,,
,,,,,2725,5.0,5,,,,,,,,,,
,,,,,2728,3.0,3,,,,,,,,,,
,,,,,2736,8.0,8,,,,,,,,,,
,,,,,2751,15.0,15,,,,,,,,,,
,,,,,2757,6.0,6,,,,,,,,,,
,,,,,2776,19.0,19,,,,,,,,,,
,,,,,2779,3.0,3,,,,,,,,,,
,,,,,2783,4.0,4,,,,,,,,,,
,,,,,2789,6.0,6,,,,,,,,,,
,,,,,2794,5.0,5,,,,,,,,,,
,,,,,2817,23.0,23,,,,,,,,,,
,,,,,2823,6.0,6,,,,,,,,,,
,,,,,2829,6.0,6,,,,,,,,,,
,,,,,2836,7.0,7,,,,,,,,,,
,,,,,2840,4.0,4,,,,,,,,,,
,,,,,2845,5.0,5,,,,,,,,,,
