Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,
,,,,,5,6.0,6,,,,,,
,,,,,9,4.0,4,,,,,,
,,,,,13,4.0,4,,,,,,
,,,,,16,3.0,3,,,,,,
,,,,,22,6.0,6,,,,,,
,,,,,27,5.0,5,,,,,,
,,,,,37,10.0,10,,,,,,
,,,,,41,4.0,4,,,,,,
,,,,,55,14.0,14,,,,,,
,,,,,59,4.0,4,,,,,,
,,,,,63,4.0,4,,,,,,
,,,,,74,11.0,11,,,,,,
,,,,,80,6.0,6,,,,,,
,,,,,87,7.0,7,,,,,,
,,,,,96,9.0,9,,,,,,
,,,,,102,6.0,6,,,,,,
,,,,,105,3.0,3,,,,,,
,,,,,108,3.0,3,,,,,,
,,,,,115,7.0,7,,,,,,
,,,,,119,4.0,4,,,,,,
,,,,,123,4.0,4,,,,,,
,,,,,127,4.0,4,,,,,,
,,,,,147,20.0,20,,,,,,
,,,,,150,3.0,3,,,,,,
,,,,,155,5.0,5,,,,,,
,,,,,163,8.0,8,,,,,,
,,,,,168,5.0,5,,,,,,
,,,,,175,7.0,7,,,,,,
,,,,,182,7.0,7,,,,,,
,,,,,185,3.0,3,,,,,,
,,,,,200,15.0,15,,,,,,
,,,,,203,3.0,3,,,,,,
,,,,,210,7.0,7,,,,,,
,,,,,218,8.0,8,,,,,,
,,,,,224,6.0,6,,,,,,
,,,,,228,4.0,4,,,,,,
,,,,,232,4.0,4,,,,,,
,,,,,235,3.0,3,,,,,,
,,,,,240,5.0,5,,,,,,
,,,,,248,8.0,8,,,,,,
,,,,,252,4.0,4,,,,,,
,,,,,263,11.0,11,,,,,,
,,,,,271,8.0,8,,,,,,
,,,,,276,5.0,5,,,,,,
,,,,,290,14.0,14,,,,,,
,,,,,294,4.0,4,,,,,,
,,,,,302,8.0,8,,,,,,
,,,,,305,3.0,3,,,,,,
,,,,,308,3.0,3,,,,,,
,,,,,312,4.0,4,,,,,,
,,,,,317,5.0,5,,,,,,
,,,,,322,5.0,5,,,,,,
,,,,,329,7.0,7,,,,,,
,,,,,336,7.0,7,,,,,,
,,,,,350,14.0,14,,,,,,
,,,,,361,11.0,11,,,,,,
,,,,,365,4.0,4,,,,,,
,,,,,374,9.0,9,,,,,,
,,,,,379,5.0,5,,,,,,
,,,,,383,4.0,4,,,,,,
,,,,,387,4.0,4,,,,,,
,,,,,396,9.0,9,,,,,,
,,,,,403,7.0,7,,,,,,
,,,,,408,5.0,5,,,,,,
,,,,,411,3.0,3,,,,,,
,,,,,414,3.0,3,,,,,,
,,,,,418,4.0,4,,,,,,
,,,,,427,9.0,9,,,,,,
,,,,,432,5.0,5,,,,,,
,,,,,435,3.0,3,,,,,,
,,,,,438,3.0,3,,,,,,
,,,,,443,5.0,5,,,,,,
,,,,,446,3.0,3,,,,,,
,,,,,458,12.0,12,,,,,,
,,,,,463,5.0,5,,,,,,
,,,,,472,9.0,9,,,,,,
,,,,,477,5.0,5,,,,,,
,,,,,480,3.0,3,,,,,,
,,,,,484,4.0,4,,,,,,
,,,,,489,5.0,5,,,,,,
,,,,,495,6.0,6,,,,,,
,,,,,500,5.0,5,,,,,,
,,,,,509,9.0,9,,,,,,
,,,,,514,5.0,5,,,,,,
,,,,,519,5.0,5,,,,,,
,,,,,539,20.0,20,,,,,,
,,,,,545,6.0,6,,,,,,
,,,,,548,3.0,3,,,,,,
,,,,,556,8.0,8,,,,,,
,,,,,561,5.0,5,,,,,,
,,,,,566,5.0,5,,,,,,
,,,,,571,5.0,5,,,,,,
,,,,,585,14.0,14,,,,,,
,,,,,591,6.0,6,,,,,,
,,,,,594,3.0,3,,,,,,
,,,,,600,6.0,6,,,,,,
,,,,,607,7.0,7,,,,,,
,,,,,626,19.0,19,,,,,,
,,,,,632,6.0,6,,,,,,
,,,,,637,5.0,5,,,,,,
,,,,,641,4.0,4,,,,,,
,,,,,647,6.0,6,,,,,,
,,,,,654,7.0,7,,,,,,
,,,,,659,5.0,5,,,,,,
,,,,,664,5.0,5,,,,,,
,,,,,669,5.0,5,,,,,,
,,,,,676,7.0,7,,,,,,
,,,,,682,6.0,6,,,,,,
,,,,,687,5.0,5,,,,,,
,,,,,691,4.0,4,,,,,,
,,,,,697,6.0,6,,,,,,
,,,,,706,9.0,9,,,,,,
,,,,,714,8.0,8,,,,,,
,,,,,719,5.0,5,,,,,,
,,,,,725,6.0,6,,,,,,
,,,,,729,4.0,4,,,,,,
,,,,,736,7.0,7,,,,,,
,,,,,742,6.0,6,,,,,,
,,,,,746,4.0,4,,,,,,
,,,,,750,4.0,4,,,,,,
,,,,,760,10.0,10,,,,,,
