Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,8,3.0,3,,,,,,,,
,,,,,13,5.0,5,,,,,,,,
,,,,,17,4.0,4,,,,,,,,
,,,,,21,4.0,4,,,,,,,,
,,,,,30,9.0,9,,,,,,,,
,,,,,33,3.0,3,,,,,,,,
,,,,,36,3.0,3,,,,,,,,
,,,,,44,8.0,8,,,,,,,,
,,,,,59,15.0,15,,,,,,,,
,,,,,62,3.0,3,,,,,,,,
,,,,,65,3.0,3,,,,,,,,
,,,,,68,3.0,3,,,,,,,,
,,,,,71,3.0,3,,,,,,,,
,,,,,74,3.0,3,,,,,,,,
,,,,,79,5.0,5,,,,,,,,
,,,,,86,7.0,7,,,,,,,,
,,,,,101,15.0,15,,,,,,,,
,,,,,105,4.0,4,,,,,,,,
,,,,,112,7.0,7,,,,,,,,
,,,,,120,8.0,8,,,,,,,,
,,,,,124,4.0,4,,,,,,,,
,,,,,129,5.0,5,,,,,,,,
,,,,,137,8.0,8,,,,,,,,
,,,,,142,5.0,5,,,,,,,,
,,,,,151,9.0,9,,,,,,,,
,,,,,161,10.0,10,,,,,,,,
,,,,,167,6.0,6,,,,,,,,
,,,,,176,9.0,9,,,,,,,,
,,,,,180,4.0,4,,,,,,,,
,,,,,196,16.0,16,,,,,,,,
,,,,,200,4.0,4,,,,,,,,
,,,,,205,5.0,5,,,,,,,,
,,,,,208,3.0,3,,,,,,,,
,,,,,218,10.0,10,,,,,,,,
,,,,,227,9.0,9,,,,,,,,
,,,,,230,3.0,3,,,,,,,,
,,,,,236,6.0,6,,,,,,,,
,,,,,240,4.0,4,,,,,,,,
,,,,,244,4.0,4,,,,,,,,
,,,,,252,8.0,8,,,,,,,,
,,,,,255,3.0,3,,,,,,,,
,,,,,260,5.0,5,,,,,,,,
,,,,,268,8.0,8,,,,,,,,
,,,,,271,3.0,3,,,,,,,,
,,,,,274,3.0,3,,,,,,,,
,,,,,278,4.0,4,,,,,,,,
,,,,,283,5.0,5,,,,,,,,
,,,,,296,13.0,13,,,,,,,,
,,,,,300,4.0,4,,,,,,,,
,,,,,304,4.0,4,,,,,,,,
,,,,,308,4.0,4,,,,,,,,
,,,,,313,5.0,5,,,,,,,,
,,,,,317,4.0,4,,,,,,,,
,,,,,320,3.0,3,,,,,,,,
,,,,,326,6.0,6,,,,,,,,
,,,,,331,5.0,5,,,,,,,,
,,,,,342,11.0,11,,,,,,,,
,,,,,345,3.0,3,,,,,,,,
,,,,,351,6.0,6,,,,,,,,
,,,,,355,4.0,4,,,,,,,,
,,,,,359,4.0,4,,,,,,,,
,,,,,367,8.0,8,,,,,,,,
,,,,,371,4.0,4,,,,,,,,
,,,,,377,6.0,6,,,,,,,,
,,,,,388,11.0,11,,,,,,,,
,,,,,391,3.0,3,,,,,,,,
,,,,,395,4.0,4,,,,,,,,
,,,,,406,11.0,11,,,,,,,,
,,,,,409,3.0,3,,,,,,,,
,,,,,413,4.0,4,,,,,,,,
,,,,,417,4.0,4,,,,,,,,
,,,,,420,3.0,3,,,,,,,,
,,,,,428,8.0,8,,,,,,,,
,,,,,436,8.0,8,,,,,,,,
,,,,,439,3.0,3,,,,,,,,
,,,,,442,3.0,3,,,,,,,,
,,,,,450,8.0,8,,,,,,,,
,,,,,453,3.0,3,,,,,,,,
,,,,,462,9.0,9,,,,,,,,
,,,,,466,4.0,4,,,,,,,,
,,,,,473,7.0,7,,,,,,,,
,,,,,476,3.0,3,,,,,,,,
,,,,,481,5.0,5,,,,,,,,
,,,,,485,4.0,4,,,,,,,,
,,,,,488,3.0,3,,,,,,,,
,,,,,495,7.0,7,,,,,,,,
,,,,,500,5.0,5,,,,,,,,
,,,,,506,6.0,6,,,,,,,,
,,,,,514,8.0,8,,,,,,,,
,,,,,519,5.0,5,,,,,,,,
,,,,,522,3.0,3,,,,,,,,
,,,,,526,4.0,4,,,,,,,,
,,,,,538,12.0,12,,,,,,,,
,,,,,548,10.0,10,,,,,,,,
,,,,,552,4.0,4,,,,,,,,
,,,,,556,4.0,4,,,,,,,,
,,,,,562,6.0,6,,,,,,,,
,,,,,565,3.0,3,,,,,,,,
,,,,,569,4.0,4,,,,,,,,
,,,,,582,13.0,13,,,,,,,,
,,,,,589,7.0,7,,,,,,,,
,,,,,592,3.0,3,,,,,,,,
,,,,,599,7.0,7,,,,,,,,
,,,,,605,6.0,6,,,,,,,,
,,,,,610,5.0,5,,,,,,,,
,,,,,615,5.0,5,,,,,,,,
,,,,,620,5.0,5,,,,,,,,
,,,,,624,4.0,4,,,,,,,,
