Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-835.4396,257.6928,-475.0538,-1414.036,110.6,0,,,,,,,,
,,,,,70,-186.23221,71,,,,,,
,,,,,130,-121.6001,60,,,,,,
,,,,,231,-186.2168,101,,,,,,
,,,,,317,-258.60516,86,,,,,,
,,,,,419,-137.33835,102,,,,,,
,,,,,500,-87.83778,81,,,,,,
,,,,,610,-143.45288,110,,,,,,
,,,,,692,-86.12657,82,,,,,,
,,,,,799,-184.54594,107,,,,,,
,,,,,904,-133.0716,105,,,,,,
,,,,,995,-269.72095,91,,,,,,
,,,,,1101,-115.7431,106,,,,,,
,,,,,1165,-73.73386,64,,,,,,
,,,,,1282,-105.508675,117,,,,,,
,,,,,1393,-219.69034,111,,,,,,
,,,,,1461,-82.50293,68,,,,,,
,,,,,1535,-116.94976,74,,,,,,
,,,,,1602,-107.35455,67,,,,,,
,,,,,1705,-163.25415,103,,,,,,
,,,,,1772,-85.412,67,,,,,,
,,,,,1877,-135.66045,105,,,,,,
,,,,,1988,-350.76453,111,,,,,,
,,,,,2080,-427.78107,92,,,,,,
,,,,,2159,-301.85413,79,,,,,,
,,,,,2289,-277.3992,130,,,,,,
,,,,,2377,-243.34988,88,,,,,,
,,,,,2479,-245.82462,102,,,,,,
,,,,,2581,-152.9603,102,,,,,,
,,,,,2704,-190.87979,123,,,,,,
,,,,,2816,-241.76006,112,,,,,,
,,,,,2908,-174.39767,92,,,,,,
,,,,,2983,-238.55957,75,,,,,,
,,,,,3053,-276.8101,70,,,,,,
,,,,,3121,-100.094894,68,,,,,,
,,,,,3218,-36.23629,97,,,,,,
,,,,,3290,-97.92598,72,,,,,,
,,,,,3377,-236.59914,87,,,,,,
,,,,,3439,-220.12482,62,,,,,,
,,,,,3507,-171.61154,68,,,,,,
,,,,,3625,-389.7109,118,,,,,,
,,,,,3704,-130.71358,79,,,,,,
,,,,,3795,-139.65776,91,,,,,,
,,,,,3881,-156.67993,86,,,,,,
,,,,,3985,-101.90357,104,,,,,,
,,,,,4087,17.714928,102,,,,,,
,,,,,4191,-162.21916,104,,,,,,
,,,,,4297,-234.4212,106,,,,,,
,,,,,4357,-94.8552,60,,,,,,
,,,,,4420,-130.72627,63,,,,,,
,,,,,4496,-294.8009,76,,,,,,
,,,,,4561,-59.14311,65,,,,,,
,,,,,4654,-101.80349,93,,,,,,
,,,,,4753,-473.59634,99,,,,,,
,,,,,4823,-122.206696,70,,,,,,
,,,,,4911,-342.34747,88,,,,,,
,,,,,5002,-200.32527,91,,,,,,
,,,,,5106,-304.30005,104,,,,,,
,,,,,5184,-117.6723,78,,,,,,
,,,,,5288,-426.4565,104,,,,,,
,,,,,5408,-245.21175,120,,,,,,
,,,,,5469,-102.02563,61,,,,,,
,,,,,5572,-154.5869,103,,,,,,
,,,,,5702,-362.51923,130,,,,,,
,,,,,5786,-126.36812,84,,,,,,
,,,,,5878,-128.26929,92,,,,,,
,,,,,5948,-97.13371,70,,,,,,
