Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,497,300.0,2018,,,,,,
,,,,,969,140.0,1890,,,,,,
,,,,,1449,270.0,1946,,,,,,
,,,,,1970,210.0,2106,,,,,,
,,,,,2417,240.0,1802,,,,,,
,,,,,2874,340.0,1842,,,,,,
,,,,,3322,270.0,1818,,,,,,
,,,,,3838,270.0,2090,,,,,,
,,,,,4466,350.0,2538,,,,,,
,,,,,4856,190.0,1586,,,,,,
,,,,,5189,120.0,1338,,,,,,
,,,,,5677,240.0,1954,,,,,,
,,,,,6066,190.0,1586,,,,,,
,,,,,6544,230.0,1930,,,,,,
,,,,,6958,220.0,1682,,,,,,
,,,,,7479,270.0,2106,,,,,,
,,,,,7945,200.0,1866,,,,,,
,,,,,8470,270.0,2106,,,,,,
,,,,,8893,160.0,1690,,,,,,
,,,,,9279,210.0,1570,,,,,,
,,,,,9721,210.0,1786,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10386,290.0,2682,,,,,,
,,,,,10865,230.0,1930,,,,,,
,,,,,11377,320.0,2058,,,,,,
,,,,,11725,220.0,1418,,,,,,
,,,,,12168,130.0,1778,,,,,,
,,,,,12642,200.0,1914,,,,,,
,,,,,13162,280.0,2082,,,,,,
,,,,,13548,190.0,1570,,,,,,
,,,,,14066,560.0,2090,,,,,,
,,,,,14947,780.0,3530,,,,,,
,,,,,15477,220.0,2146,,,,,,
,,,,,15929,90.0,1810,,,,,,
,,,,,16392,260.0,1858,,,,,,
,,,,,16829,290.0,1754,,,,,,
,,,,,17320,270.0,1978,,,,,,
,,,,,17839,240.0,2082,,,,,,
,,,,,18322,190.0,1930,,,,,,
,,,,,18754,240.0,1746,,,,,,
,,,,,19228,180.0,1914,,,,,,
,,,,,19711,240.0,1954,,,,,,
160.0,20.0,170.0,120.0,2489.2,20000,,,0.004102034494280815,-0.013955552130937576,0.043879006057977676,0.08054792135953903,1.0,0.0001
,,,,,20259,290.0,2194,,,,,,
,,,,,20623,170.0,1466,,,,,,
,,,,,21000,,,3.0985562801361084,0.4824032187461853,0.3563852608203888,3.019896984100342,0.9979375,0.0001
,,,,,21053,170.0,1746,,,,,,
,,,,,21558,170.0,2042,,,,,,
,,,,,22000,,,3.041048765182495,0.5390084385871887,0.35637369751930237,3.902566432952881,0.995875,0.0001
,,,,,22082,310.0,2114,,,,,,
,,,,,22608,230.0,2122,,,,,,
,,,,,23000,,,3.0142738819122314,1.0153465270996094,0.9344120025634766,5.171829700469971,0.9938125,0.0001
,,,,,23141,270.0,2146,,,,,,
,,,,,23632,230.0,1970,,,,,,
,,,,,24000,,,5.745533466339111,0.9123787879943848,1.271852731704712,9.295129776000977,0.99175,0.0001
,,,,,24095,270.0,1858,,,,,,
,,,,,24584,170.0,1970,,,,,,
,,,,,24981,110.0,1594,,,,,,
,,,,,25000,,,5.53465461730957,1.7694963216781616,1.9715855121612549,15.276826858520508,0.9896875,0.0001
,,,,,25431,160.0,1826,,,,,,
,,,,,25845,150.0,1682,,,,,,
,,,,,26000,,,3.14025616645813,1.6636589765548706,1.5107450485229492,7.7308125495910645,0.987625,0.0001
,,,,,26437,340.0,2386,,,,,,
,,,,,27000,,,0.17539751529693604,1.864355206489563,1.6654654741287231,6.5784196853637695,0.9855625,0.0001
,,,,,27006,280.0,2298,,,,,,
,,,,,27454,150.0,1794,,,,,,
,,,,,27923,220.0,1882,,,,,,
,,,,,28000,,,3.0472307205200195,2.170718193054199,2.1282780170440674,13.795062065124512,0.9835,0.0001
,,,,,28455,190.0,2130,,,,,,
,,,,,28986,200.0,2138,,,,,,
,,,,,29000,,,6.404518127441406,3.045405149459839,3.6097524166107178,28.82821273803711,0.9814375,0.0001
,,,,,29482,230.0,1994,,,,,,
,,,,,29953,280.0,1890,,,,,,
70.0,0.0,70.0,70.0,1942.0,30000,,,0.4669106900691986,3.3115832805633545,2.929399013519287,18.931198120117188,0.979375,0.0001
,,,,,30577,220.0,2498,,,,,,
,,,,,31000,,,2.669806718826294,4.099741458892822,3.772759437561035,23.411272048950195,0.9773125,0.0001
,,,,,31004,220.0,1714,,,,,,
,,,,,31506,210.0,2026,,,,,,
,,,,,31998,220.0,1970,,,,,,
,,,,,32000,,,0.15612587332725525,3.015629529953003,2.890350103378296,7.993531227111816,0.97525,0.0001
,,,,,32475,210.0,1922,,,,,,
,,,,,32925,260.0,1810,,,,,,
,,,,,33000,,,3.4134185314178467,4.094475269317627,3.728058338165283,29.313962936401367,0.9731875,0.0001
,,,,,33388,230.0,1858,,,,,,
,,,,,33866,250.0,1930,,,,,,
,,,,,34000,,,0.8326321840286255,3.148092031478882,3.2589735984802246,10.9446382522583,0.971125,0.0001
,,,,,34383,260.0,2082,,,,,,
,,,,,34786,160.0,1618,,,,,,
,,,,,35000,,,5.841495990753174,3.353879690170288,3.7965755462646484,40.93166732788086,0.9690625,0.0001
,,,,,35234,190.0,1818,,,,,,
,,,,,35724,150.0,1986,,,,,,
,,,,,36000,,,1.0840421915054321,3.8975415229797363,3.2855985164642334,60.299110412597656,0.967,0.0001
,,,,,36187,240.0,1858,,,,,,
,,,,,36698,200.0,2066,,,,,,
,,,,,37000,,,5.015321254730225,4.661034107208252,4.625609397888184,43.46720504760742,0.9649375,0.0001
,,,,,37116,210.0,1698,,,,,,
,,,,,37440,170.0,1306,,,,,,
,,,,,37907,230.0,1882,,,,,,
,,,,,38000,,,3.247514486312866,3.5403075218200684,3.6798696517944336,30.20547866821289,0.962875,0.0001
,,,,,38374,200.0,1874,,,,,,
,,,,,38870,210.0,2010,,,,,,
,,,,,39000,,,8.559075355529785,5.037024021148682,5.692286491394043,111.31089782714844,0.9608125,0.0001
,,,,,39366,310.0,2002,,,,,,
,,,,,39883,130.0,2098,,,,,,
219.0,53.188343,360.0,170.0,2106.0,40000,,,4.195795059204102,4.563990592956543,4.639980316162109,46.364437103271484,0.95875,9.999989583333334e-05
,,,,,40427,260.0,2202,,,,,,
,,,,,40960,300.0,2138,,,,,,
,,,,,41000,,,4.469953536987305,6.234493255615234,6.213710784912109,70.32182312011719,0.9566875,9.989572916666667e-05
,,,,,41510,290.0,2218,,,,,,
,,,,,41970,310.0,1842,,,,,,
,,,,,42000,,,6.996406555175781,6.626538276672363,6.579516410827637,60.958831787109375,0.9546250000000001,9.97915625e-05
,,,,,42496,230.0,2122,,,,,,
,,,,,42925,130.0,1738,,,,,,
,,,,,43000,,,1.2223262786865234,5.260687351226807,5.058049201965332,52.91260528564453,0.9525625,9.968739583333334e-05
,,,,,43395,150.0,1890,,,,,,
,,,,,43884,170.0,1978,,,,,,
,,,,,44000,,,1.2941774129867554,6.295408248901367,6.2704572677612305,55.91458511352539,0.9505,9.958322916666667e-05
,,,,,44228,160.0,1402,,,,,,
,,,,,44836,320.0,2442,,,,,,
,,,,,45000,,,12.5550537109375,7.029860496520996,7.869029521942139,207.12132263183594,0.9484375,9.947906250000001e-05
,,,,,45300,340.0,1858,,,,,,
,,,,,45748,170.0,1794,,,,,,
